,ticker,market_cap,fte,revenue,rev_per_fte
414,MEI,"$1,486,100,000.00","7,000.00",$0.00,$0.00
415,MERC,"$1,089,640,000.00","2,415.00",$0.00,$0.00
417,MFGP,"$1,174,390,000.00","11,019.00",$0.00,$0.00
406,MBIN,"$1,055,260,000.00",481.00,$0.00,$0.00
418,MGI,"$983,920,000.00","3,072.00",$0.00,$0.00
419,MGIC,"$963,460,000.00","3,677.00",$0.00,$0.00
420,MGNI,"$1,135,260,000.00",876.00,$0.00,$0.00
421,MGRC,"$1,980,380,000.00","1,184.00",$0.00,$0.00
422,MHO,"$1,273,460,000.00","1,657.00",$0.00,$0.00
423,MIR,"$1,316,470,000.00","2,600.00",$0.00,$0.00
424,MKTW,"$946,200,000.00",800.00,$0.00,$0.00
407,MBUU,"$1,247,510,000.00","2,645.00",$0.00,$0.00
405,MATV,"$1,149,700,000.00","5,100.00",$0.00,$0.00
426,MLNK,"$1,406,320,000.00",622.00,$0.00,$0.00
395,LPSN,"$1,141,220,000.00","1,787.00",$0.00,$0.00
387,LKFN,"$1,847,890,000.00",606.00,$0.00,$0.00
388,LMAT,"$1,034,700,000.00",450.00,$0.00,$0.00
389,LMND,"$1,299,320,000.00","1,119.00",$0.00,$0.00
390,LNN,"$1,573,230,000.00","1,235.00",$0.00,$0.00
391,LOB,"$1,555,090,000.00",788.00,$0.00,$0.00
393,LPI,"$1,414,170,000.00",273.00,$0.00,$0.00
394,LPRO,"$1,297,590,000.00",132.00,$0.00,$0.00
396,LRN,"$1,904,480,000.00","7,100.00",$0.00,$0.00
404,MARA,"$1,335,990,000.00",10.00,$0.00,$0.00
397,LTC,"$1,552,220,000.00",25.00,$0.00,$0.00
398,LWLG,"$1,337,300,000.00",19.00,$0.00,$0.00
399,LXU,"$1,186,090,000.00",545.00,$0.00,$0.00
400,LYEL,"$1,507,780,000.00",219.00,$0.00,$0.00
401,LZB,"$1,162,610,000.00","12,800.00",$0.00,$0.00
402,MAG,"$1,453,480,000.00",10.00,$0.00,$0.00
403,MANU,"$1,860,150,000.00","1,214.00",$0.00,$0.00
425,MLAB,"$1,094,090,000.00",681.00,$0.00,$0.00
427,MMI,"$1,504,880,000.00",801.00,$0.00,$0.00
478,NVEE,"$1,990,610,000.00","3,139.00",$0.00,$0.00
465,NMIH,"$1,569,540,000.00",246.00,$0.00,$0.00
455,NBTB,"$1,705,170,000.00","1,801.00",$0.00,$0.00
456,NE,"$1,811,250,000.00","1,800.00",$0.00,$0.00
457,NEGG,"$1,441,210,000.00","2,205.00",$0.00,$0.00
458,NEO,"$1,159,030,000.00","2,000.00",$0.00,$0.00
461,NGM,"$1,250,760,000.00",225.00,$0.00,$0.00
462,NHC,"$1,084,300,000.00","12,965.00",$0.00,$0.00
463,NIC,"$1,061,470,000.00",856.00,$0.00,$0.00
467,NOAH,"$1,160,130,000.00","3,148.00",$0.00,$0.00
453,NBHC,"$1,252,020,000.00","1,120.00",$0.00,$0.00
468,NPO,"$1,845,000,000.00","4,400.00",$0.00,$0.00
469,NRC,"$979,840,000.00",511.00,$0.00,$0.00
471,NS,"$1,675,610,000.00","1,267.00",$0.00,$0.00
472,NSSC,"$946,090,000.00","1,102.00",$0.00,$0.00
473,NTB,"$1,746,530,000.00","1,217.00",$0.00,$0.00
475,NTUS,"$1,125,660,000.00","1,400.00",$0.00,$0.00
476,NUTX,"$1,812,560,000.00","1,500.00",$0.00,$0.00
454,NBR,"$1,171,580,000.00","10,000.00",$0.00,$0.00
451,NABL,"$1,752,570,000.00","1,426.00",$0.00,$0.00
428,MNKD,"$926,450,000.00",348.00,$0.00,$0.00
436,MORF,"$1,043,490,000.00",100.00,$0.00,$0.00
429,MNRL,"$1,539,750,000.00",44.00,$0.00,$0.00
430,MNRO,"$1,587,170,000.00","8,750.00",$0.00,$0.00
431,MNTK,"$1,594,230,000.00",132.00,$0.00,$0.00
432,MNTV,"$1,479,110,000.00","1,600.00",$0.00,$0.00
433,MODN,"$913,310,000.00",982.00,$0.00,$0.00
434,MODV,"$1,384,630,000.00","20,200.00",$0.00,$0.00
435,MOMO,"$967,390,000.00","2,051.00",$0.00,$0.00
438,MRC,"$933,040,000.00","2,600.00",$0.00,$0.00
449,MYTE,"$1,103,730,000.00",978.00,$0.00,$0.00
439,MRTN,"$1,599,910,000.00","4,007.00",$0.00,$0.00
441,MSEX,"$1,588,620,000.00",347.00,$0.00,$0.00
442,MTRN,"$1,610,470,000.00","3,443.00",$0.00,$0.00
443,MTTR,"$1,209,660,000.00",485.00,$0.00,$0.00
446,MWA,"$1,972,200,000.00","3,400.00",$0.00,$0.00
447,MYOV,"$1,167,580,000.00",579.00,$0.00,$0.00
448,MYRG,"$1,550,970,000.00","7,600.00",$0.00,$0.00
569,RGNX,"$1,385,590,000.00",372.00,$0.00,$0.00
570,RGR,"$1,125,150,000.00","1,912.00",$0.00,$0.00
571,RIG,"$1,973,190,000.00","5,000.00",$0.00,$0.00
699,USNA,"$1,331,510,000.00","1,978.00",$0.00,$0.00
691,UDMY,"$1,744,330,000.00","1,359.00",$0.00,$0.00
692,UE,"$1,849,390,000.00",116.00,$0.00,$0.00
693,UEC,"$1,145,930,000.00",47.00,$0.00,$0.00
694,UIS,"$912,850,000.00","16,300.00",$0.00,$0.00
695,UMH,"$1,080,040,000.00",430.00,$0.00,$0.00
696,URBN,"$1,898,730,000.00","9,660.00",$0.00,$0.00
698,USAC,"$1,741,110,000.00",697.00,$0.00,$0.00
700,USPH,"$1,624,770,000.00","3,060.00",$0.00,$0.00
689,UAN,"$1,062,640,000.00",296.00,$0.00,$0.00
701,UTL,"$933,900,000.00",508.00,$0.00,$0.00
702,UVV,"$1,360,040,000.00","11,250.00",$0.00,$0.00
703,VALN,"$1,018,580,000.00",762.00,$0.00,$0.00
704,VBTX,"$1,697,510,000.00",690.00,$0.00,$0.00
705,VCEL,"$1,358,660,000.00",281.00,$0.00,$0.00
706,VCSA,"$1,093,730,000.00","8,200.00",$0.00,$0.00
707,VCTR,"$1,743,680,000.00",485.00,$0.00,$0.00
690,UCTT,"$1,595,290,000.00","5,860.00",$0.00,$0.00
687,TWO,"$1,779,270,000.00",105.00,$0.00,$0.00
709,VECO,"$1,065,900,000.00","1,091.00",$0.00,$0.00
675,TNC,"$1,174,270,000.00","4,250.00",$0.00,$0.00
